Constituent fund name,Date,Currency,NAV / unit
Manulife MPF North American Equity Fund,13/01/2021,HKD,23.231
Manulife MPF North American Equity Fund,14/01/2021,HKD,23.038
Manulife MPF North American Equity Fund,15/01/2021,HKD,22.905
Manulife MPF North American Equity Fund,18/01/2021,HKD,22.902
Manulife MPF North American Equity Fund,19/01/2021,HKD,23.134
Manulife MPF North American Equity Fund,20/01/2021,HKD,23.619
Manulife MPF North American Equity Fund,21/01/2021,HKD,23.688
Manulife MPF North American Equity Fund,22/01/2021,HKD,23.624
Manulife MPF North American Equity Fund,25/01/2021,HKD,23.655
Manulife MPF North American Equity Fund,26/01/2021,HKD,23.616
Manulife MPF North American Equity Fund,27/01/2021,HKD,22.885
Manulife MPF North American Equity Fund,28/01/2021,HKD,23.153
Manulife MPF North American Equity Fund,29/01/2021,HKD,22.747
Manulife MPF North American Equity Fund,01/02/2021,HKD,23.227
Manulife MPF North American Equity Fund,02/02/2021,HKD,23.689
Manulife MPF North American Equity Fund,03/02/2021,HKD,23.715
Manulife MPF North American Equity Fund,04/02/2021,HKD,23.976
Manulife MPF North American Equity Fund,05/02/2021,HKD,24.103
Manulife MPF North American Equity Fund,08/02/2021,HKD,24.278
Manulife MPF North American Equity Fund,09/02/2021,HKD,24.272
Manulife MPF North American Equity Fund,10/02/2021,HKD,24.328
Manulife MPF North American Equity Fund,11/02/2021,HKD,24.403
Manulife MPF North American Equity Fund,16/02/2021,HKD,24.457
Manulife MPF North American Equity Fund,17/02/2021,HKD,24.401
Manulife MPF North American Equity Fund,18/02/2021,HKD,24.287
Manulife MPF North American Equity Fund,19/02/2021,HKD,24.236
Manulife MPF North American Equity Fund,22/02/2021,HKD,23.946
Manulife MPF North American Equity Fund,23/02/2021,HKD,24.007
Manulife MPF North American Equity Fund,24/02/2021,HKD,24.221
Manulife MPF North American Equity Fund,25/02/2021,HKD,23.457
Manulife MPF North American Equity Fund,26/02/2021,HKD,23.454
